Track Name,Artist Name,Popularity,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Lyrics
說好不哭,Jay Chou,64,0.52,0.547,220693,0.363,0,10,0.0784,-11.214,1,0.0301,75.986,4,0.38,"沒有了聯絡 後來的生活
我都是聽別人說
說妳怎麼了 說妳怎麼過
放不下的人是我

人多的時候 就待在角落
就怕別人問起我
你們怎麼了 妳低著頭
護著我連抱怨都沒有

電話開始躲 從不對我說
不習慣一個人生活
離開我以後 要我好好過
怕打擾想自由的我

...

******* This Lyrics is NOT for Commercial use *******"
光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,63,0.4,0.539,235505,0.668,0,1,0.0864,-6.825,0,0.0825,175.867,4,0.238,"感受停在我髮端的指尖
如何瞬間 凍結時間
記住望著我堅定的雙眼
也許已經 沒有明天

面對浩瀚的星海
我們微小得像塵埃
漂浮在 一片無奈

緣份讓我們相遇亂世以外
命運卻要我們危難中相愛
也許未來遙遠在光年之外
我願守候未知裡為你等待

我沒想到 為了你 我能瘋狂到
山崩海嘯 沒有你 根本不想逃
...

******* This Lyrics is NOT for Commercial use *******"
後來的我們,Mayday,61,0.0119,0.488,346282,0.602,0,0,0.0825,-3.697,1,0.0277,78.011,4,0.225,"然後呢
他們說你的心 似乎痊癒了
也開始有個人 為你守護著
我該心安或是 心痛呢

然後呢
其實我的日子 也還可以呢
除了回憶肆虐 的某些時刻
慶幸還有眼淚 沖淡苦澀

而那些昨日 依然繽紛著
它們都有我 細心收藏著
也許你還記得 也許你都忘了
也不是那麽 重要了

只期待 後來的你 能快樂
那就是 後來的我 最想的
後來的我們 依然走著
只是不再並肩了
...

******* This Lyrics is NOT for Commercial use *******"
不為誰而作的歌,JJ Lin,64,0.534,0.402,265800,0.641,0,2,0.112,-5.905,1,0.0335,145.054,4,0.252,"原諒我這一首 不為誰而作的歌
感覺上彷彿窗外的夜色 oh
曾經有那一刻 回頭竟然認不得
需要 從記憶 再摸索 的人

和他們 關心的
的地方和那些 走過的 請等一等

夢為努力澆了水 愛在背後往前推
當我抬起頭兒才發覺 我是不是忘了誰
累到整夜不能睡 夜色哪裡都是美
一定有個人 他 躲過 避過 閃過 瞞過 他是誰
他是誰 ooh-ooh
...

******* This Lyrics is NOT for Commercial use *******"
怎麼了,Eric Chou,62,0.696,0.502,321040,0.565,5.55e-05,9,0.156,-7.779,1,0.0358,139.926,4,0.253,"你說藍色是你最愛的顏色
你說如果沒有愛那又如何
怎麼了 你怎麼了
看過你曾經最燦爛的笑容
看過你緊緊擁抱愛的面孔
怎麼了 你消失了

是不是我錯了 搞錯了
天灰了 雨下著 凝望著 你走了
都回不去了 像從前快樂

怎麼能輕易說要結束
怎麼會讓你抱著我哭
太努力的我們最後用力給祝福
怎麼看你笑著 我卻心如刀割

原來我們都一樣頑固
怎麼會誰都絕口不提要幸福
再也不能牽著你走未來每一步
...

******* This Lyrics is NOT for Commercial use *******"
玫瑰少年,Jolin Tsai,55,0.0577,0.648,191719,0.716,2.16e-05,10,0.09,-6.657,0,0.0401,98.014,4,0.287,"(Whoa)
(Whoa, whoa, whoa)
Baby boy (baby boy; whoa)

誰把誰的靈魂 裝進誰的身體?
誰把誰的身體 變成囹圄囚禁自己?
亂世總是最不缺耳語 哪種美麗會喚來妒忌?
你並沒有罪 有罪是這世界

生而為人無罪 (ah)
你不需要抱歉 (ah)
One day I will be you (one day I will be you)
Baby boy, and you gon' be me (boy and you gon' be me)

喧嘩如果不停 (不停 whoa)
讓我陪你安靜 (安靜 whoa)
I wish I could hug you (whoa)
'Til you're really, really being free

Oh 哪朵玫瑰沒有荊棘? (Ah-ah-ah-ah)
...

******* This Lyrics is NOT for Commercial use *******"
連名帶姓,A-Mei Chang,58,0.889,0.512,333549,0.311,0,8,0.112,-7.083,1,0.0314,80.884,4,0.271,"零七年那一首定情曲的前奏
要是依然念念不忘太不稱頭
早放生彼此好好過
都多久

你怎麼像標本 杵在我心裡頭
後來的那幾個 又沒做錯什麼
他們口中自私的我
犯了偷竊時間的錯
複製貼上你的愛

也很精彩的你 不甘寂寞
這圈子不太大 多少聽說
欣賞你流浪 像是種信仰
我真這麼想

再被你提起 已是連名帶姓
謊稱是友誼 卻疏遠得可以
多少人愛我 偏放不下你
是公開的秘密
...

******* This Lyrics is NOT for Commercial use *******"
披星戴月的想你,告五人,63,0.263,0.692,349774,0.453,0.000549,9,0.0836,-7.131,1,0.0299,99.976,4,0.351,"突如其來的美夢
是你離去時卷起的泡沫
踢著石頭 默默的走
公車從旁擦身而過

突如其來的念頭
幻想化成流星的你我
明亮的夜 漆黑的宇宙
通通來自夜空

我會披星戴月的想你
我會奮不顧身的前進
遠方煙火越來越唏噓
凝視前方身後的距離

我會披星戴月的想你
...

******* This Lyrics is NOT for Commercial use *******"
讓我留在你身邊,Eason Chan,58,0.0539,0.303,185384,0.653,0,1,0.121,-4.258,1,0.0434,169.692,4,0.261,"我從來不說話
因為我害怕 沒有人回答
我從來不掙扎
因為我知道 這世界太大
太多時間浪費 太多事要面對
太多已無所謂
太多難辨真偽 太多紛擾是非
在你身邊是誰

最渺小的我 有大大的夢
...

******* This Lyrics is NOT for Commercial use *******"
愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲),EggPlantEgg,58,0.00272,0.665,232400,0.654,0.00112,9,0.109,-6.949,0,0.0707,149.973,4,0.754,"倒佇故鄉街市的中央
笑看世界咧轉踅
你是我
烏暗的心唯一的光
親像是眼前的燈火

原諒我這款放蕩的人
原諒我做這款夭壽的夢
每一擺你的眼神咧振動
攏予我無法分西東 哦

我用我的人格來保證
我是永遠袂後悔
你是我
目前為止的愛人內底
...

******* This Lyrics is NOT for Commercial use *******"
