Track Name,Artist Name,Popularity,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Lyrics,lyrics,final_lyrics
說好不哭,Jay Chou,64,0.52,0.547,220693,0.363,0.0,10,0.0784,-11.214,1,0.0301,75.986,4,0.38,沒有了聯絡後來的生活我都是聽別人說說妳怎麼了說妳怎麼過放不下的人是我人多的時候就待在角落就怕別人問起我你們怎麼了妳低著頭護著我連抱怨都沒有電話開始躲從不對我說不習慣一個人生活離開我以後要我好好過怕打擾想自由的我,"['沒有', '了', '聯絡', '後來', '的', '生活', '我', '都', '是', '聽', '別人', '說說', '妳', '怎麼', '了', '說', '妳', '怎麼', '過', '放不下', '的', '人', '是', '我', '人', '多', '的', '時候', '就', '待在', '角落', '就', '怕', '別人', '問起', '我', '你們', '怎麼', '了', '妳', '低', '著', '頭', '護', '著', '我', '連', '抱怨', '都', '沒有', '電話', '開始', '躲', '從不', '對', '我', '說', '不', '習慣', '一', '個', '人', '生活', '離開', '我', '以後', '要', '我', '好好', '過', '怕', '打擾', '想', '自由', '的', '我']",聯絡 後來 生活 聽 說說 妳 妳 放不下 待在 角落 怕 問起 妳 低 頭 護 抱怨 電話 躲 從不 習慣 生活 離開 以後 好好 怕 打擾 想 自由
光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,63,0.4,0.539,235505,0.668,0.0,1,0.0864,-6.825,0,0.0825,175.867,4,0.238,感受停在我髮端的指尖如何瞬間凍結時間記住望著我堅定的雙眼也許已經沒有明天面對浩瀚的星海我們微小得像塵埃漂浮在一片無奈緣份讓我們相遇亂世以外命運卻要我們危難中相愛也許未來遙遠在光年之外我願守候未知裡為你等待我沒想到為了你我能瘋狂到山崩海嘯沒有你根本不想逃,"['感受', '停', '在', '我', '髮', '端', '的', '指尖', '如何', '瞬間', '凍結', '時間', '記住', '望', '著', '我', '堅定', '的', '雙眼', '也許', '已經', '沒有', '明天', '面對', '浩瀚', '的', '星海', '我們', '微小', '得', '像', '塵埃', '漂浮', '在', '一', '片', '無奈', '緣份', '讓', '我們', '相遇', '亂世', '以外', '命運', '卻', '要', '我們', '危難', '中', '相愛', '也許', '未來', '遙遠', '在', '光年', '之外', '我', '願', '守候', '未知', '裡', '為', '你', '等待', '我', '沒想到', '為了', '你', '我', '能', '瘋狂', '到', '山崩', '海嘯', '沒有', '你', '根本', '不', '想', '逃']",感受 停 髮 端 指尖 瞬間 凍結 時間 記住 堅定 雙眼 也許 已經 明天 面對 浩瀚 星海 微小 塵埃 漂浮 片 無奈 緣份 相遇 亂世 以外 命運 危難 相愛 也許 未來 遙遠 光年 之外 願 守候 未知 裡 等待 沒想到 瘋狂 山崩 海嘯 根本 想 逃
後來的我們,Mayday,61,0.0119,0.488,346282,0.602,0.0,0,0.0825,-3.697,1,0.0277,78.011,4,0.225,然後呢他們說你的心似乎痊癒了也開始有個人為你守護著我該心安或是心痛呢然後呢其實我的日子也還可以呢除了回憶肆虐的某些時刻慶幸還有眼淚沖淡苦澀而那些昨日依然繽紛著它們都有我細心收藏著也許你還記得也許你都忘了也不是那麽重要了只期待後來的你能快樂那就是後來的我最想的後來的我們依然走著只是不再並肩了,"['然後', '呢', '他們', '說', '你', '的', '心', '似乎', '痊癒', '了', '也', '開始', '有', '個', '人', '為', '你', '守護', '著', '我', '該', '心安', '或是', '心痛', '呢', '然後', '呢', '其實', '我', '的', '日子', '也', '還可以', '呢', '除了', '回憶', '肆虐', '的', '某些', '時刻', '慶幸', '還', '有', '眼淚', '沖淡', '苦澀', '而', '那些', '昨日', '依然', '繽紛', '著', '它們', '都', '有', '我', '細心', '收藏', '著', '也許', '你', '還', '記得', '也許', '你', '都', '忘', '了', '也', '不', '是', '那', '麽', '重要', '了', '只', '期待', '後來', '的', '你', '能', '快樂', '那', '就', '是', '後來', '的', '我', '最', '想', '的', '後來', '的', '我們', '依然', '走', '著', '只是', '不再', '並肩', '了']",心 似乎 痊癒 守護 心安 心痛 其實 日子 還可以 回憶 肆虐 時刻 慶幸 眼淚 沖淡 苦澀 昨日 依然 繽紛 細心 收藏 也許 記得 也許 忘 麽 重要 期待 後來 快樂 後來 想 後來 依然 走 不再 並肩
不為誰而作的歌,JJ Lin,64,0.534,0.402,265800,0.641,0.0,2,0.112,-5.905,1,0.0335,145.054,4,0.252,原諒我這一首不為誰而作的歌感覺上彷彿窗外的夜色曾經有那一刻回頭竟然認不得需要從記憶再摸索的人和他們關心的的地方和那些走過的請等一等夢為努力澆了水愛在背後往前推當我抬起頭兒才發覺我是不是忘了誰累到整夜不能睡夜色哪裡都是美一定有個人他躲過避過閃過瞞過他是誰他是誰,"['原諒', '我', '這', '一', '首', '不', '為', '誰', '而', '作', '的', '歌', '感覺', '上', '彷彿', '窗', '外', '的', '夜色', '曾經', '有', '那', '一', '刻', '回頭', '竟然', '認', '不', '得', '需要', '從', '記憶', '再', '摸索', '的', '人', '和', '他們', '關心', '的', '的', '地方', '和', '那些', '走過', '的', '請', '等', '一等', '夢', '為', '努力', '澆', '了', '水', '愛', '在', '背後', '往', '前', '推', '當', '我', '抬起', '頭兒', '才', '發覺', '我', '是', '不', '是', '忘', '了', '誰', '累', '到', '整', '夜', '不能', '睡', '夜色', '哪裡', '都', '是', '美', '一定', '有', '個', '人', '他', '躲過', '避過', '閃過', '瞞', '過', '他', '是', '誰', '他', '是', '誰']",原諒 首 作 歌 感覺 彷彿 窗 外 夜色 曾經 刻 回頭 竟然 認 需要 記憶 摸索 關心 地方 走過 一等 夢 努力 澆 水 愛 背後 前 推 抬起 頭兒 發覺 忘 累 整 夜 不能 睡 夜色 美 一定 躲過 避過 閃過 瞞
怎麼了,Eric Chou,62,0.696,0.502,321040,0.565,5.55e-05,9,0.156,-7.779,1,0.0358,139.926,4,0.253,你說藍色是你最愛的顏色你說如果沒有愛那又如何怎麼了你怎麼了看過你曾經最燦爛的笑容看過你緊緊擁抱愛的面孔怎麼了你消失了是不是我錯了搞錯了天灰了雨下著凝望著你走了都回不去了像從前快樂怎麼能輕易說要結束怎麼會讓你抱著我哭太努力的我們最後用力給祝福怎麼看你笑著我卻心如刀割原來我們都一樣頑固怎麼會誰都絕口不提要幸福再也不能牽著你走未來每一步,"['你', '說', '藍色', '是', '你', '最', '愛', '的', '顏色', '你', '說', '如果', '沒有', '愛', '那', '又', '如何', '怎麼', '了', '你', '怎麼', '了', '看', '過', '你', '曾經', '最', '燦爛', '的', '笑容', '看過', '你', '緊緊', '擁抱', '愛', '的', '面孔', '怎麼', '了', '你', '消失', '了', '是', '不', '是', '我', '錯', '了', '搞錯', '了', '天灰', '了', '雨', '下', '著', '凝望', '著', '你', '走', '了', '都', '回', '不', '去', '了', '像', '從前', '快樂', '怎麼', '能', '輕易', '說', '要', '結束', '怎麼', '會', '讓', '你', '抱', '著', '我', '哭', '太', '努力', '的', '我們', '最後', '用力', '給', '祝福', '怎麼', '看', '你', '笑', '著', '我', '卻', '心如刀割', '原來', '我們', '都', '一樣', '頑固', '怎麼', '會', '誰', '都', '絕口不提', '要', '幸福', '再', '也', '不能', '牽', '著', '你', '走', '未來', '每', '一', '步']",藍色 愛 顏色 愛 曾經 燦爛 笑容 看過 緊緊 擁抱 愛 面孔 消失 錯 搞錯 天灰 雨 凝望 走 回 從前 快樂 輕易 結束 抱 哭 太 努力 最後 用力 祝福 笑 心如刀割 原來 頑固 絕口不提 幸福 不能 牽 走 未來 步
玫瑰少年,Jolin Tsai,55,0.0577,0.648,191719,0.716,2.16e-05,10,0.09,-6.657,0,0.0401,98.014,4,0.287,誰把誰的靈魂裝進誰的身體誰把誰的身體變成囹圄囚禁自己亂世總是最不缺耳語哪種美麗會喚來妒忌你並沒有罪有罪是這世界生而為人無罪你不需要抱歉喧嘩如果不停不停讓我陪你安靜安靜哪朵玫瑰沒有荊棘,"['誰', '把', '誰', '的', '靈魂', '裝進', '誰', '的', '身體', '誰', '把', '誰', '的', '身體', '變成', '囹圄', '囚禁', '自己', '亂世', '總是', '最', '不', '缺', '耳語', '哪', '種', '美麗', '會', '喚來', '妒忌', '你', '並', '沒有', '罪', '有罪', '是', '這', '世界', '生', '而', '為', '人', '無罪', '你', '不', '需要', '抱歉', '喧嘩', '如果', '不停', '不停', '讓', '我', '陪', '你', '安靜', '安靜', '哪', '朵', '玫瑰', '沒有', '荊棘']",靈魂 裝進 身體 身體 變成 囹圄 囚禁 亂世 總是 缺 耳語 種 美麗 喚來 妒忌 罪 有罪 世界 生 無罪 需要 抱歉 喧嘩 不停 不停 陪 安靜 安靜 朵 玫瑰 荊棘
連名帶姓,A-Mei Chang,58,0.889,0.512,333549,0.311,0.0,8,0.112,-7.083,1,0.0314,80.884,4,0.271,零七年那一首定情曲的前奏要是依然念念不忘太不稱頭早放生彼此好好過都多久你怎麼像標本杵在我心裡頭後來的那幾個又沒做錯什麼他們口中自私的我犯了偷竊時間的錯複製貼上你的愛也很精彩的你不甘寂寞這圈子不太大多少聽說欣賞你流浪像是種信仰我真這麼想再被你提起已是連名帶姓謊稱是友誼卻疏遠得可以多少人愛我偏放不下你是公開的秘密,"['零七年', '那', '一', '首', '定情曲', '的', '前奏', '要是', '依然', '念念不忘', '太', '不', '稱頭', '早', '放生', '彼此', '好好', '過', '都', '多久', '你', '怎麼', '像', '標本', '杵', '在', '我', '心', '裡頭', '後來', '的', '那', '幾', '個', '又', '沒', '做錯', '什麼', '他們', '口', '中', '自私', '的', '我', '犯', '了', '偷竊', '時間', '的', '錯', '複製', '貼上', '你', '的', '愛', '也', '很', '精彩', '的', '你', '不甘寂寞', '這', '圈子', '不', '太', '大', '多少', '聽說', '欣賞', '你', '流浪', '像是', '種', '信仰', '我', '真', '這麼', '想', '再', '被', '你', '提起', '已', '是', '連名帶姓', '謊稱', '是', '友誼', '卻', '疏遠', '得', '可以', '多少', '人', '愛', '我', '偏', '放不下', '你', '是', '公開', '的', '秘密']",零七年 首 定情曲 前奏 依然 念念不忘 太 稱頭 早 放生 好好 多久 標本 杵 心 裡頭 後來 沒 做錯 口 自私 犯 偷竊 時間 錯 複製 貼上 愛 精彩 不甘寂寞 圈子 太 聽說 欣賞 流浪 像是 種 信仰 真 想 提起 連名帶姓 謊稱 友誼 疏遠 愛 偏 放不下 公開 秘密
披星戴月的想你,告五人,63,0.263,0.692,349774,0.453,0.000549,9,0.0836,-7.131,1,0.0299,99.976,4,0.351,突如其來的美夢是你離去時卷起的泡沫踢著石頭默默的走公車從旁擦身而過突如其來的念頭幻想化成流星的你我明亮的夜漆黑的宇宙通通來自夜空我會披星戴月的想你我會奮不顧身的前進遠方煙火越來越唏噓凝視前方身後的距離我會披星戴月的想你,"['突如其來', '的', '美', '夢', '是', '你', '離去', '時', '卷起', '的', '泡沫', '踢', '著', '石頭', '默默', '的', '走', '公車', '從旁', '擦身而過', '突如其來', '的', '念頭', '幻想', '化成', '流星', '的', '你', '我', '明亮', '的', '夜', '漆黑', '的', '宇宙', '通通', '來自', '夜空', '我', '會', '披星戴月', '的', '想', '你', '我', '會', '奮不顧身', '的', '前進', '遠方', '煙火', '越來越', '唏噓', '凝視', '前方', '身後', '的', '距離', '我', '會', '披星戴月', '的', '想', '你']",突如其來 美 夢 離去 卷起 泡沫 踢 石頭 默默 走 公車 從旁 擦身而過 突如其來 念頭 幻想 化成 流星 明亮 夜 漆黑 宇宙 通通 夜空 披星戴月 想 奮不顧身 前進 遠方 煙火 越來越 唏噓 凝視 前方 身後 距離 披星戴月 想
讓我留在你身邊,Eason Chan,58,0.0539,0.303,185384,0.653,0.0,1,0.121,-4.258,1,0.0434,169.692,4,0.261,我從來不說話因為我害怕沒有人回答我從來不掙扎因為我知道這世界太大太多時間浪費太多事要面對太多已無所謂太多難辨真偽太多紛擾是非在你身邊是誰最渺小的我有大大的夢,"['我', '從來', '不', '說話', '因為', '我', '害怕', '沒有', '人', '回答', '我', '從來', '不', '掙扎', '因為', '我', '知道', '這', '世界', '太', '大', '太多', '時間', '浪費', '太多', '事', '要', '面對', '太多', '已', '無所謂', '太多', '難', '辨', '真偽', '太多', '紛擾', '是非', '在', '你', '身邊', '是', '誰', '最', '渺小', '的', '我', '有', '大大', '的', '夢']",從來 說話 害怕 回答 從來 掙扎 知道 世界 太 太多 時間 浪費 太多 事 面對 太多 無所謂 太多 難 辨 真偽 太多 紛擾 是非 身邊 渺小 大大 夢
愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲),EggPlantEgg,58,0.00272,0.665,232400,0.654,0.00112,9,0.109,-6.949,0,0.0707,149.973,4,0.754,倒佇故鄉街市的中央笑看世界咧轉踅你是我烏暗的心唯一的光親像是眼前的燈火原諒我這款放蕩的人原諒我做這款夭壽的夢每一擺你的眼神咧振動攏予我無法分西東哦我用我的人格來保證我是永遠袂後悔你是我目前為止的愛人內底,"['倒', '佇', '故鄉', '街市', '的', '中央', '笑看', '世界', '咧', '轉', '踅', '你', '是', '我', '烏暗', '的', '心', '唯一', '的', '光親', '像是', '眼前', '的', '燈火', '原諒', '我', '這', '款', '放蕩', '的', '人', '原諒', '我', '做', '這', '款', '夭壽', '的', '夢', '每', '一', '擺', '你', '的', '眼神', '咧', '振動', '攏', '予', '我', '無法', '分', '西東', '哦', '我', '用', '我', '的', '人格', '來', '保證', '我', '是', '永遠', '袂', '後悔', '你', '是', '我', '目前', '為止', '的', '愛人', '內底']",倒 佇 故鄉 街市 中央 笑看 世界 轉 踅 烏暗 心 唯一 光親 像是 眼前 燈火 原諒 款 放蕩 原諒 款 夭壽 夢 擺 眼神 振動 攏 予 無法 西東 人格 保證 永遠 袂 後悔 目前 愛人 內底
